kodjaz;akrcis;kodcis;chodnota;zkrtext;text;admplod;admnepo;obec_ul;ob_ul_cor;sm_rozsah;sm_typ;kodobce_h;domin_cobc;porcobec_o
CS;CISOB;43;500011;Želechovice nad Dřevnicí;Želechovice nad Dřevnicí;01.01.2009;09.09.9999;ano;ne;;;195901;195901;88
CS;CISOB;43;500020;Petrov nad Desnou;Petrov nad Desnou;01.01.2010;09.09.9999;ne;ne;;;119792;119792;50
CS;CISOB;43;500046;Libhošť;Libhošť;01.01.2011;09.09.9999;ne;ne;;;82686;82686;23
CS;CISOB;43;500062;Krhová;Krhová;01.01.2013;09.09.9999;ano;ne;;;176508;176508;20
CS;CISOB;43;500071;Poličná;Poličná;01.01.2013;09.09.9999;ne;ne;;;125458;125458;36
CS;CISOB;43;500101;Bražec;Bražec;01.01.2016;09.09.9999;ne;ne;;;317934;317934;7
CS;CISOB;43;500127;Doupovské Hradiště;Doupovské Hradiště;01.01.2016;09.09.9999;ne;ne;;;317942;317942;13
CS;CISOB;43;500135;Kozlov;Kozlov;01.01.2016;09.09.9999;ne;ne;;;320676;320676;36
CS;CISOB;43;500151;Luboměř pod Strážnou;Luboměř pod Strážnou;01.01.2016;09.09.9999;ne;ne;;;320684;320684;48
CS;CISOB;43;500160;Město Libavá;Město Libavá;01.01.2016;09.09.9999;ano;ne;;;93424;93424;55
CS;CISOB;43;500194;Polná na Šumavě;Polná na Šumavě;01.01.2016;09.09.9999;ne;ne;;;330469;330469;31
CS;CISOB;43;500259;Veřovice;Veřovice;01.03.2001;09.09.9999;ne;ne;;;180360;180360;49
CS;CISOB;43;500291;Vřesina;Vřesina;01.03.2001;09.09.9999;ano;ne;;;186686;186686;12
CS;CISOB;43;500496;Olomouc;Olomouc;01.03.2001;09.09.9999;ano;ano;;;110507;110507;66
CS;CISOB;43;500526;Bělkovice-Lašťany;Bělkovice-Lašťany;01.03.2001;09.09.9999;ne;ne;;;1970;1970;2W
CS;CISOB;43;500623;Bílá Lhota;Bílá Lhota;01.03.2001;09.09.9999;ne;ne;;;3956;3956;3
CS;CISOB;43;500801;Blatec;Blatec;01.03.2001;09.09.9999;ne;ne;;;5207;5207;5
CS;CISOB;43;500852;Bohuňovice;Bohuňovice;01.03.2001;09.09.9999;ano;ne;;;6432;6432;6
CS;CISOB;43;500861;Bouzov;Bouzov;01.03.2001;09.09.9999;ne;ne;;;8699;8699;7
CS;CISOB;43;500879;Bystročice;Bystročice;01.03.2001;09.09.9999;ne;ne;;;16675;16675;9
CS;CISOB;43;501476;Dlouhá Loučka;Dlouhá Loučka;01.03.2001;09.09.9999;ano;ne;;;26441;26441;13
