NUTS_OKRES;NAZ_OKRES;OKRSKY_CELKEM;OKRSKY_ZPRAC;OKRSKY_ZPRAC_PROC;ZAPSANI_VOLICI;VYDANE_OBALKY;UCAST_PROC;ODEVZDANE_OBALKY;PLATNE_HLASY;PLATNE_HLASY_PROC;KSTRANA;HLASY;PROC_HLASU
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;3;244;0.78
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;5;190;0.60
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;7;4004;12.83
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;16;2835;9.08
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;18;29;0.09
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;19;3530;11.31
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;23;28;0.08
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;28;70;0.22
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;33;3295;10.55
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;41;875;2.80
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;42;1903;6.09
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;45;861;2.75
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;50;7555;24.20
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;63;1730;5.54
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;70;955;3.06
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;71;100;0.32
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;75;121;0.38
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;77;2789;8.93
CZ0427;Ústí nad Labem;138;138;100.00;93859;31595;33.66;31572;31208;98.85;82;94;0.30
