vek_volenych;pohlavi_volenych;pocet_hlasu;strana
56;0;0;DSSS+CiKR
44;0;3;DSSS+CiKR
59;0;0;DSSS+CiKR
26;1;10; DSZ-ZA PR.ZVÍŘ.
58;1;4; DSZ-ZA PR.ZVÍŘ.
59;1;10; DSZ-ZA PR.ZVÍŘ.
33;0;3;STAN
36;0;6;STAN
50;0;126;STAN
49;0;221;SPD
50;0;4;SPD
50;0;192;SPD
51;1;0;ND
68;0;0;ND
46;0;1;ND
21;0;3;PIRATI
67;0;7;PIRATI
57;0;6;PIRATI
25;0;0;VIZE
26;0;0;VIZE
23;0;0;VIZE
37;0;0;VOK
54;0;18;VOK
37;0;0;VOK
46;1;5;ODS
45;1;1;ODS
54;0;0;ODS
56;0;2;severocesi
46;0;24;severocesi
43;0;2;severocesi
45;0;0;UFO
77;0;0;UFO
35;1;9;UFO
64;0;47;CSSD
55;0;58;CSSD
48;0;2;CSSD
42;1;32;ANO
24;0;23;ANO
48;0;212;ANO
56;1;5;KSC
46;1;4;KSC
31;0;31;KSC
47;1;2;trikolora
33;0;15;trikolora
41;0;1;trikolora
38;0;6;svobodni
62;0;1;svobodni
50;0;0;svobodni
56;1;0;ZaRegion
38;1;3;ZaRegion
43;0;1;ZaRegion
66;1;1;Spojenci pro kraj
46;0;22;Spojenci pro kraj
49;0;21;Spojenci pro kraj
42;0;0;ROZUMNi
20;1;0;ROZUMNi
59;0;3;ROZUMNi
